link_id,src_customer_id,dst_customer_id,link_type,link_distance,detected_at
1,700,2363,shared_bank,3,2026-05-21
2,2363,700,shared_bank,3,2026-05-21
3,700,2945,shared_device,1,2026-02-25
4,2945,700,shared_device,1,2026-02-25
5,700,2464,shared_device,1,2025-06-30
6,2464,700,shared_device,1,2025-06-30
7,70,700,shared_device,1,2025-07-17
8,700,70,shared_device,1,2025-07-17
9,2363,2464,shared_bank,3,2025-11-03
10,2464,2363,shared_bank,3,2025-11-03
11,70,2363,shared_card,2,2025-10-04
12,2363,70,shared_card,2,2025-10-04
13,2464,2945,shared_device,1,2026-04-19
14,2945,2464,shared_device,1,2026-04-19
15,70,2945,shared_device,1,2025-09-28
16,2945,70,shared_device,1,2025-09-28
17,70,2464,shared_card,2,2025-08-17
18,2464,70,shared_card,2,2025-08-17
19,700,2568,shared_card,2,2025-08-15
20,2568,700,shared_card,2,2025-08-15
21,653,2767,shared_card,2,2025-07-18
22,2767,653,shared_card,2,2025-07-18
23,653,966,shared_device,1,2026-04-25
24,966,653,shared_device,1,2026-04-25
25,653,2161,shared_bank,3,2025-05-03
26,2161,653,shared_bank,3,2025-05-03
27,653,2182,shared_bank,3,2026-02-11
28,2182,653,shared_bank,3,2026-02-11
29,966,2767,shared_card,2,2026-02-28
30,2767,966,shared_card,2,2026-02-28
31,2161,2767,shared_card,2,2026-04-23
32,2767,2161,shared_card,2,2026-04-23
33,2182,2767,shared_bank,3,2025-04-27
34,2767,2182,shared_bank,3,2025-04-27
35,288,653,shared_card,2,2025-09-07
36,653,288,shared_card,2,2025-09-07
37,653,1391,shared_card,2,2025-05-02
38,1391,653,shared_card,2,2025-05-02
39,262,2767,shared_phone,5,2025-12-05
40,2767,262,shared_phone,5,2025-12-05
41,428,2905,shared_card,2,2025-07-25
42,2905,428,shared_card,2,2025-07-25
43,2368,2905,shared_device,1,2026-05-21
44,2905,2368,shared_device,1,2026-05-21
45,428,2368,shared_card,2,2026-01-09
46,2368,428,shared_card,2,2026-01-09
47,677,2905,shared_address,8,2025-03-16
48,2905,677,shared_address,8,2025-03-16
49,1138,2368,shared_email_domain,20,2025-07-13
50,2368,1138,shared_email_domain,20,2025-07-13
51,353,869,shared_device,1,2025-03-23
52,869,353,shared_device,1,2025-03-23
53,1465,2001,shared_card,2,2025-08-08
54,2001,1465,shared_card,2,2025-08-08
55,2001,2434,shared_device,1,2025-10-14
56,2434,2001,shared_device,1,2025-10-14
57,356,1465,shared_device,1,2025-10-10
58,1465,356,shared_device,1,2025-10-10
59,1465,2434,shared_device,1,2025-08-17
60,2434,1465,shared_device,1,2025-08-17
61,1465,1698,shared_bank,3,2025-11-30
62,1698,1465,shared_bank,3,2025-11-30
63,356,2434,shared_card,2,2025-03-23
64,2434,356,shared_card,2,2025-03-23
65,356,1698,shared_bank,3,2026-01-09
66,1698,356,shared_bank,3,2026-01-09
67,1698,2434,shared_card,2,2025-07-01
68,2434,1698,shared_card,2,2025-07-01
69,356,1025,shared_email_domain,20,2026-01-20
70,1025,356,shared_email_domain,20,2026-01-20
71,2561,2780,shared_card,2,2026-04-21
72,2780,2561,shared_card,2,2026-04-21
73,458,517,shared_card,2,2026-03-05
74,517,458,shared_card,2,2026-03-05
75,458,1955,shared_bank,3,2025-03-06
76,1955,458,shared_bank,3,2025-03-06
77,517,1955,shared_device,1,2026-04-03
78,1955,517,shared_device,1,2026-04-03
79,771,2780,shared_device,1,2025-05-18
80,2780,771,shared_device,1,2025-05-18
81,1955,2780,shared_bank,3,2025-07-12
82,2780,1955,shared_bank,3,2025-07-12
83,771,1955,shared_card,2,2025-07-26
84,1955,771,shared_card,2,2025-07-26
85,1955,2229,shared_phone,5,2025-11-10
86,2229,1955,shared_phone,5,2025-11-10
87,1281,1955,shared_email_domain,20,2025-10-29
88,1955,1281,shared_email_domain,20,2025-10-29
89,458,1823,shared_email_domain,20,2025-06-13
90,1823,458,shared_email_domain,20,2025-06-13
91,66,1460,shared_phone,5,2026-01-28
92,1460,66,shared_phone,5,2026-01-28
93,134,316,shared_phone,5,2025-07-31
94,316,134,shared_phone,5,2025-07-31
95,1065,2178,shared_email_domain,20,2026-01-20
96,2178,1065,shared_email_domain,20,2026-01-20
97,765,1234,shared_address,8,2026-04-24
98,1234,765,shared_address,8,2026-04-24
99,709,2149,shared_address,8,2025-05-31
100,2149,709,shared_address,8,2025-05-31
101,68,452,shared_phone,5,2025-09-27
102,452,68,shared_phone,5,2025-09-27
103,1343,2583,shared_email_domain,20,2025-06-28
104,2583,1343,shared_email_domain,20,2025-06-28
105,340,2973,shared_email_domain,20,2025-04-11
106,2973,340,shared_email_domain,20,2025-04-11
107,1213,1515,shared_email_domain,20,2025-07-27
108,1515,1213,shared_email_domain,20,2025-07-27
109,49,382,shared_address,8,2025-04-02
110,382,49,shared_address,8,2025-04-02
111,1879,1899,shared_address,8,2025-08-11
112,1899,1879,shared_address,8,2025-08-11
113,2619,2803,shared_address,8,2025-04-09
114,2803,2619,shared_address,8,2025-04-09
115,359,2319,shared_email_domain,20,2025-03-16
116,2319,359,shared_email_domain,20,2025-03-16
117,1832,1853,shared_phone,5,2025-09-24
118,1853,1832,shared_phone,5,2025-09-24
119,1175,1855,shared_address,8,2025-05-24
120,1855,1175,shared_address,8,2025-05-24
121,760,2572,shared_phone,5,2025-06-26
122,2572,760,shared_phone,5,2025-06-26
123,1251,2981,shared_email_domain,20,2025-12-31
124,2981,1251,shared_email_domain,20,2025-12-31
125,1585,1866,shared_phone,5,2025-04-20
126,1866,1585,shared_phone,5,2025-04-20
127,981,1790,shared_address,8,2025-07-20
128,1790,981,shared_address,8,2025-07-20
129,64,2195,shared_phone,5,2025-11-04
130,2195,64,shared_phone,5,2025-11-04
131,453,2276,shared_address,8,2025-08-22
132,2276,453,shared_address,8,2025-08-22
133,330,417,shared_phone,5,2025-08-17
134,417,330,shared_phone,5,2025-08-17
135,2325,3000,shared_address,8,2025-07-07
136,3000,2325,shared_address,8,2025-07-07
137,1633,2518,shared_address,8,2026-02-07
138,2518,1633,shared_address,8,2026-02-07
139,1639,2487,shared_address,8,2025-06-14
140,2487,1639,shared_address,8,2025-06-14
141,1163,2026,shared_address,8,2025-08-12
142,2026,1163,shared_address,8,2025-08-12
143,357,1419,shared_email_domain,20,2026-02-23
144,1419,357,shared_email_domain,20,2026-02-23
145,1742,2225,shared_phone,5,2026-04-17
146,2225,1742,shared_phone,5,2026-04-17
147,683,1391,shared_phone,5,2026-05-26
148,1391,683,shared_phone,5,2026-05-26
149,608,1865,shared_address,8,2025-07-28
150,1865,608,shared_address,8,2025-07-28
151,1300,1457,shared_email_domain,20,2026-04-10
152,1457,1300,shared_email_domain,20,2026-04-10
153,1027,2607,shared_address,8,2025-12-18
154,2607,1027,shared_address,8,2025-12-18
155,348,2629,shared_phone,5,2026-01-01
156,2629,348,shared_phone,5,2026-01-01
157,493,2492,shared_phone,5,2025-03-27
158,2492,493,shared_phone,5,2025-03-27
159,1102,1103,shared_phone,5,2026-02-27
160,1103,1102,shared_phone,5,2026-02-27
161,1917,2236,shared_email_domain,20,2025-07-03
162,2236,1917,shared_email_domain,20,2025-07-03
163,211,2743,shared_phone,5,2025-03-09
164,2743,211,shared_phone,5,2025-03-09
165,437,2445,shared_phone,5,2025-03-12
166,2445,437,shared_phone,5,2025-03-12
167,1256,2881,shared_phone,5,2026-06-02
168,2881,1256,shared_phone,5,2026-06-02
169,370,467,shared_email_domain,20,2026-04-29
170,467,370,shared_email_domain,20,2026-04-29
171,1546,2951,shared_address,8,2025-06-13
172,2951,1546,shared_address,8,2025-06-13
173,67,1845,shared_address,8,2025-08-14
174,1845,67,shared_address,8,2025-08-14
175,325,2514,shared_address,8,2026-06-21
176,2514,325,shared_address,8,2026-06-21
177,81,889,shared_email_domain,20,2026-05-01
178,889,81,shared_email_domain,20,2026-05-01
179,1309,1492,shared_phone,5,2026-04-19
180,1492,1309,shared_phone,5,2026-04-19
181,778,2517,shared_address,8,2025-03-28
182,2517,778,shared_address,8,2025-03-28
183,954,1938,shared_phone,5,2025-10-09
184,1938,954,shared_phone,5,2025-10-09
185,165,2562,shared_address,8,2025-08-27
186,2562,165,shared_address,8,2025-08-27
187,1843,1935,shared_address,8,2025-11-22
188,1935,1843,shared_address,8,2025-11-22
189,1513,1942,shared_address,8,2026-04-08
190,1942,1513,shared_address,8,2026-04-08
191,1104,2083,shared_address,8,2026-01-12
192,2083,1104,shared_address,8,2026-01-12
193,373,1042,shared_address,8,2026-02-08
194,1042,373,shared_address,8,2026-02-08
195,1611,2137,shared_phone,5,2026-03-04
196,2137,1611,shared_phone,5,2026-03-04
197,582,1016,shared_phone,5,2025-05-04
198,1016,582,shared_phone,5,2025-05-04
199,407,2719,shared_address,8,2025-12-17
200,2719,407,shared_address,8,2025-12-17
201,321,1326,shared_email_domain,20,2026-05-25
202,1326,321,shared_email_domain,20,2026-05-25
203,285,2889,shared_phone,5,2025-08-02
204,2889,285,shared_phone,5,2025-08-02
205,1041,1921,shared_address,8,2026-04-11
206,1921,1041,shared_address,8,2026-04-11
207,535,652,shared_phone,5,2025-05-15
208,652,535,shared_phone,5,2025-05-15
209,832,2486,shared_email_domain,20,2025-07-17
210,2486,832,shared_email_domain,20,2025-07-17
211,1826,1888,shared_phone,5,2025-05-23
212,1888,1826,shared_phone,5,2025-05-23
213,1667,2933,shared_address,8,2025-05-29
214,2933,1667,shared_address,8,2025-05-29
215,904,1319,shared_phone,5,2025-11-28
216,1319,904,shared_phone,5,2025-11-28
217,266,947,shared_phone,5,2025-12-28
218,947,266,shared_phone,5,2025-12-28
219,464,620,shared_phone,5,2025-08-06
220,620,464,shared_phone,5,2025-08-06
221,657,1557,shared_phone,5,2025-08-24
222,1557,657,shared_phone,5,2025-08-24
223,1071,2339,shared_email_domain,20,2026-04-03
224,2339,1071,shared_email_domain,20,2026-04-03
225,2338,2751,shared_phone,5,2025-11-30
226,2751,2338,shared_phone,5,2025-11-30
227,2653,2958,shared_address,8,2025-12-10
228,2958,2653,shared_address,8,2025-12-10
229,2018,2652,shared_address,8,2025-03-16
230,2652,2018,shared_address,8,2025-03-16
231,390,703,shared_phone,5,2025-08-28
232,703,390,shared_phone,5,2025-08-28
233,1687,2376,shared_address,8,2025-07-20
234,2376,1687,shared_address,8,2025-07-20
235,30,2839,shared_phone,5,2025-06-28
236,2839,30,shared_phone,5,2025-06-28
237,892,2175,shared_address,8,2026-02-28
238,2175,892,shared_address,8,2026-02-28
239,1376,1824,shared_email_domain,20,2026-01-09
240,1824,1376,shared_email_domain,20,2026-01-09
241,654,860,shared_address,8,2025-09-11
242,860,654,shared_address,8,2025-09-11
243,1153,2952,shared_email_domain,20,2026-03-04
244,2952,1153,shared_email_domain,20,2026-03-04
245,1838,2184,shared_phone,5,2026-04-24
246,2184,1838,shared_phone,5,2026-04-24
247,903,1844,shared_email_domain,20,2025-08-25
248,1844,903,shared_email_domain,20,2025-08-25
249,167,2124,shared_phone,5,2026-01-19
250,2124,167,shared_phone,5,2026-01-19
251,150,1751,shared_phone,5,2026-03-25
252,1751,150,shared_phone,5,2026-03-25
253,2042,2579,shared_email_domain,20,2025-05-21
254,2579,2042,shared_email_domain,20,2025-05-21
255,2096,2970,shared_address,8,2026-05-18
256,2970,2096,shared_address,8,2026-05-18
257,386,422,shared_email_domain,20,2026-04-15
258,422,386,shared_email_domain,20,2026-04-15
259,1620,2291,shared_email_domain,20,2025-07-16
260,2291,1620,shared_email_domain,20,2025-07-16
261,1379,2433,shared_address,8,2025-09-05
262,2433,1379,shared_address,8,2025-09-05
263,860,1424,shared_phone,5,2026-05-07
264,1424,860,shared_phone,5,2026-05-07
265,455,879,shared_phone,5,2025-12-04
266,879,455,shared_phone,5,2025-12-04
267,1143,1444,shared_address,8,2026-04-21
268,1444,1143,shared_address,8,2026-04-21
269,973,1251,shared_email_domain,20,2025-05-31
270,1251,973,shared_email_domain,20,2025-05-31
271,58,238,shared_email_domain,20,2026-02-10
272,238,58,shared_email_domain,20,2026-02-10
273,1298,2696,shared_phone,5,2025-08-04
274,2696,1298,shared_phone,5,2025-08-04
275,1735,2344,shared_address,8,2025-09-01
276,2344,1735,shared_address,8,2025-09-01
277,787,2323,shared_phone,5,2025-06-11
278,2323,787,shared_phone,5,2025-06-11
279,611,2518,shared_address,8,2025-11-17
280,2518,611,shared_address,8,2025-11-17
281,1907,2413,shared_email_domain,20,2026-01-22
282,2413,1907,shared_email_domain,20,2026-01-22
283,40,2439,shared_address,8,2025-06-29
284,2439,40,shared_address,8,2025-06-29
285,387,2692,shared_phone,5,2025-03-25
286,2692,387,shared_phone,5,2025-03-25
287,44,998,shared_email_domain,20,2026-01-19
288,998,44,shared_email_domain,20,2026-01-19
289,65,2299,shared_address,8,2026-04-10
290,2299,65,shared_address,8,2026-04-10
291,1566,1883,shared_address,8,2025-08-27
292,1883,1566,shared_address,8,2025-08-27
293,86,2813,shared_address,8,2025-05-13
294,2813,86,shared_address,8,2025-05-13
295,370,2880,shared_address,8,2026-05-24
296,2880,370,shared_address,8,2026-05-24
297,1735,2946,shared_phone,5,2026-01-17
298,2946,1735,shared_phone,5,2026-01-17
299,723,2009,shared_address,8,2026-05-05
300,2009,723,shared_address,8,2026-05-05
301,732,1004,shared_address,8,2026-01-21
302,1004,732,shared_address,8,2026-01-21
303,260,1449,shared_phone,5,2026-05-12
304,1449,260,shared_phone,5,2026-05-12
305,1310,2295,shared_email_domain,20,2026-05-28
306,2295,1310,shared_email_domain,20,2026-05-28
307,112,599,shared_address,8,2026-05-29
308,599,112,shared_address,8,2026-05-29
309,2383,2680,shared_address,8,2025-10-15
310,2680,2383,shared_address,8,2025-10-15
311,674,2520,shared_address,8,2025-04-07
312,2520,674,shared_address,8,2025-04-07
313,1012,1482,shared_address,8,2026-03-23
314,1482,1012,shared_address,8,2026-03-23
315,702,1377,shared_address,8,2025-09-11
316,1377,702,shared_address,8,2025-09-11
317,582,1613,shared_email_domain,20,2026-02-14
318,1613,582,shared_email_domain,20,2026-02-14
319,150,2174,shared_email_domain,20,2025-08-04
320,2174,150,shared_email_domain,20,2025-08-04
321,47,631,shared_address,8,2025-09-12
322,631,47,shared_address,8,2025-09-12
323,943,981,shared_phone,5,2026-06-21
324,981,943,shared_phone,5,2026-06-21
325,1047,2752,shared_email_domain,20,2026-06-02
326,2752,1047,shared_email_domain,20,2026-06-02
327,956,2758,shared_phone,5,2025-04-06
328,2758,956,shared_phone,5,2025-04-06
329,2028,2306,shared_phone,5,2025-06-12
330,2306,2028,shared_phone,5,2025-06-12
331,134,2351,shared_email_domain,20,2025-06-18
332,2351,134,shared_email_domain,20,2025-06-18
333,1750,1810,shared_email_domain,20,2025-10-27
334,1810,1750,shared_email_domain,20,2025-10-27
335,816,965,shared_email_domain,20,2025-11-07
336,965,816,shared_email_domain,20,2025-11-07
337,116,1824,shared_email_domain,20,2025-10-10
338,1824,116,shared_email_domain,20,2025-10-10
339,856,2492,shared_email_domain,20,2026-06-21
340,2492,856,shared_email_domain,20,2026-06-21
341,393,2347,shared_phone,5,2026-06-16
342,2347,393,shared_phone,5,2026-06-16
343,1233,2417,shared_email_domain,20,2026-02-11
344,2417,1233,shared_email_domain,20,2026-02-11
345,1146,2329,shared_email_domain,20,2025-08-03
346,2329,1146,shared_email_domain,20,2025-08-03
347,212,1337,shared_email_domain,20,2025-06-30
348,1337,212,shared_email_domain,20,2025-06-30
349,2487,2542,shared_email_domain,20,2025-07-31
350,2542,2487,shared_email_domain,20,2025-07-31
351,789,2593,shared_phone,5,2025-04-06
352,2593,789,shared_phone,5,2025-04-06
353,1377,2207,shared_phone,5,2025-12-27
354,2207,1377,shared_phone,5,2025-12-27
355,265,1459,shared_phone,5,2025-05-04
356,1459,265,shared_phone,5,2025-05-04
357,2249,2844,shared_email_domain,20,2025-11-23
358,2844,2249,shared_email_domain,20,2025-11-23
359,823,882,shared_email_domain,20,2025-09-29
360,882,823,shared_email_domain,20,2025-09-29
361,1099,2127,shared_email_domain,20,2026-05-21
362,2127,1099,shared_email_domain,20,2026-05-21
363,411,2087,shared_address,8,2026-06-20
364,2087,411,shared_address,8,2026-06-20
365,2109,2553,shared_email_domain,20,2026-01-31
366,2553,2109,shared_email_domain,20,2026-01-31
367,1340,2466,shared_phone,5,2026-01-20
368,2466,1340,shared_phone,5,2026-01-20
369,134,593,shared_address,8,2025-06-04
370,593,134,shared_address,8,2025-06-04
371,722,1705,shared_phone,5,2025-11-23
372,1705,722,shared_phone,5,2025-11-23
373,887,2196,shared_address,8,2025-09-23
374,2196,887,shared_address,8,2025-09-23
375,741,2916,shared_phone,5,2026-04-17
376,2916,741,shared_phone,5,2026-04-17
377,491,960,shared_address,8,2025-06-18
378,960,491,shared_address,8,2025-06-18
379,108,1581,shared_address,8,2025-04-23
380,1581,108,shared_address,8,2025-04-23
381,117,1640,shared_address,8,2025-12-02
382,1640,117,shared_address,8,2025-12-02
383,2138,2662,shared_email_domain,20,2025-03-10
384,2662,2138,shared_email_domain,20,2025-03-10
385,1352,1731,shared_email_domain,20,2025-06-26
386,1731,1352,shared_email_domain,20,2025-06-26
387,1561,2082,shared_phone,5,2026-01-23
388,2082,1561,shared_phone,5,2026-01-23
389,1912,2926,shared_email_domain,20,2025-04-13
390,2926,1912,shared_email_domain,20,2025-04-13
391,1186,1623,shared_phone,5,2025-07-20
392,1623,1186,shared_phone,5,2025-07-20
393,615,1191,shared_email_domain,20,2025-04-28
394,1191,615,shared_email_domain,20,2025-04-28
395,807,809,shared_phone,5,2025-05-07
396,809,807,shared_phone,5,2025-05-07
397,1397,1615,shared_phone,5,2025-06-23
398,1615,1397,shared_phone,5,2025-06-23
399,957,974,shared_address,8,2025-05-16
400,974,957,shared_address,8,2025-05-16
401,1441,2151,shared_address,8,2025-08-12
402,2151,1441,shared_address,8,2025-08-12
403,1349,1802,shared_phone,5,2025-04-24
404,1802,1349,shared_phone,5,2025-04-24
405,434,2387,shared_phone,5,2026-04-04
406,2387,434,shared_phone,5,2026-04-04
407,2030,2044,shared_phone,5,2025-08-03
408,2044,2030,shared_phone,5,2025-08-03
409,171,1885,shared_address,8,2026-04-18
410,1885,171,shared_address,8,2026-04-18
411,620,2958,shared_phone,5,2025-06-07
412,2958,620,shared_phone,5,2025-06-07
413,2085,2097,shared_phone,5,2025-10-07
414,2097,2085,shared_phone,5,2025-10-07
415,891,2380,shared_email_domain,20,2025-12-06
416,2380,891,shared_email_domain,20,2025-12-06
417,2124,2878,shared_email_domain,20,2025-04-06
418,2878,2124,shared_email_domain,20,2025-04-06
419,650,738,shared_address,8,2025-07-27
420,738,650,shared_address,8,2025-07-27
421,300,2717,shared_email_domain,20,2025-10-22
422,2717,300,shared_email_domain,20,2025-10-22
423,2151,2759,shared_phone,5,2025-10-09
424,2759,2151,shared_phone,5,2025-10-09
425,166,2218,shared_address,8,2026-03-30
426,2218,166,shared_address,8,2026-03-30
