customer_id,signup_at,region,risk_band,credit_limit_usd,status,is_confirmed_fraud
1,2025-02-17,EU,A,3250,active,False
2,2026-01-25,LATAM,B,3600,active,False
3,2025-03-21,NA,C,1550,active,False
4,2025-01-15,EU,D,900,active,False
5,2025-09-14,LATAM,D,1350,active,False
6,2026-03-10,LATAM,A,4250,active,False
7,2025-08-23,LATAM,B,3250,active,False
8,2025-01-28,EU,C,2350,active,False
9,2025-01-10,LATAM,C,1600,defaulted,False
10,2025-03-04,NA,B,3650,active,False
11,2025-08-31,NA,C,2450,active,False
12,2026-02-03,APAC,A,5500,active,False
13,2026-01-28,NA,B,3000,active,False
14,2025-08-15,NA,A,3300,active,False
15,2026-05-15,APAC,C,1850,active,False
16,2026-03-31,APAC,A,3950,active,False
17,2025-08-06,LATAM,B,2400,active,False
18,2025-06-21,NA,A,4700,active,False
19,2025-10-28,EU,A,3800,active,False
20,2025-04-12,LATAM,D,1550,defaulted,False
21,2025-08-22,LATAM,B,2250,active,False
22,2025-07-09,EU,B,3600,active,False
23,2025-04-16,EU,B,2950,active,False
24,2025-02-15,EU,B,4050,active,False
25,2026-03-20,APAC,E,550,active,False
26,2026-05-29,NA,D,1350,active,False
27,2025-12-09,NA,E,800,active,False
28,2025-10-18,NA,A,3800,active,False
29,2026-04-06,LATAM,B,2900,active,False
30,2026-03-10,EU,B,2550,active,False
31,2025-11-17,EU,B,4000,active,False
32,2025-10-28,APAC,B,2200,active,False
33,2025-09-20,APAC,B,2850,active,False
34,2026-03-03,LATAM,B,3000,active,False
35,2025-03-09,NA,B,2150,active,False
36,2026-02-24,NA,C,2000,active,False
37,2025-05-03,APAC,C,2750,active,False
38,2025-07-16,NA,B,2450,active,False
39,2025-02-27,APAC,E,700,defaulted,False
40,2025-12-11,APAC,B,3550,active,False
41,2025-04-02,EU,D,950,defaulted,False
42,2025-03-12,EU,B,3300,active,False
43,2025-10-08,EU,A,4450,active,False
44,2025-04-25,NA,B,2900,active,False
45,2025-05-07,LATAM,A,3400,active,False
46,2025-05-09,NA,D,1350,active,False
47,2025-12-13,NA,B,3600,active,False
48,2026-03-09,NA,D,1250,active,False
49,2025-09-30,APAC,A,5550,active,False
50,2025-11-24,EU,C,2000,active,False
51,2025-08-26,EU,D,1050,defaulted,False
52,2026-02-03,APAC,B,4100,active,False
53,2026-03-11,NA,C,2600,active,False
54,2025-06-01,APAC,A,3700,active,False
55,2025-01-22,NA,B,2300,active,False
56,2026-04-04,EU,D,1350,active,False
57,2026-04-21,NA,A,3750,active,False
58,2026-04-27,APAC,C,2350,active,False
59,2026-05-02,NA,A,4950,active,False
60,2025-04-15,EU,A,3250,active,False
61,2026-02-16,NA,B,2150,active,False
62,2026-05-16,NA,A,5000,active,False
63,2025-07-05,NA,D,900,active,False
64,2025-04-26,NA,A,3900,active,False
65,2026-05-15,EU,C,1450,active,False
66,2026-01-28,NA,B,3800,active,False
67,2025-06-11,NA,A,5250,active,False
68,2025-06-07,LATAM,C,1850,defaulted,False
69,2025-10-09,NA,A,3650,active,False
70,2026-03-23,NA,C,1850,active,True
71,2026-03-04,NA,C,2700,active,False
72,2025-01-25,LATAM,A,3000,active,False
73,2025-03-17,NA,D,1250,active,False
74,2025-09-18,APAC,B,3850,active,False
75,2025-01-06,LATAM,A,5350,active,False
76,2025-04-20,NA,C,1700,active,False
77,2025-09-10,NA,B,3550,active,False
78,2026-01-16,NA,E,750,active,False
79,2025-05-22,NA,B,3900,active,False
80,2025-03-04,NA,B,3450,active,False
81,2026-02-28,EU,D,950,active,False
82,2025-01-08,NA,A,3400,active,False
83,2025-04-25,NA,C,2000,defaulted,False
84,2025-10-15,NA,C,2200,active,False
85,2026-01-02,NA,D,950,active,False
86,2025-10-09,EU,C,1550,active,False
87,2026-05-04,EU,D,1000,active,False
88,2025-12-04,APAC,C,2650,defaulted,False
89,2025-12-24,APAC,C,2650,active,False
90,2025-12-05,APAC,C,1850,active,False
91,2025-04-07,EU,C,1850,active,False
92,2026-05-09,APAC,C,2100,active,False
93,2026-05-13,NA,B,2750,active,False
94,2026-05-23,EU,A,4700,active,False
95,2025-12-06,LATAM,B,2900,active,False
96,2026-05-19,NA,B,3450,active,False
97,2026-02-17,NA,E,750,active,False
98,2026-04-06,EU,C,1550,active,False
99,2025-01-23,NA,B,2950,active,False
100,2026-01-09,EU,A,3600,active,False
101,2026-01-29,NA,B,3100,active,False
102,2025-04-15,NA,A,3050,active,False
103,2026-01-26,NA,A,4300,active,False
104,2025-09-25,NA,A,4400,active,False
105,2025-04-01,NA,C,2750,active,False
106,2025-03-14,EU,C,1450,active,False
107,2025-02-23,APAC,C,2200,active,False
108,2026-04-08,NA,A,4150,active,False
109,2025-03-19,EU,B,2550,active,False
110,2026-01-25,APAC,C,2050,active,False
111,2025-09-21,NA,A,3650,active,False
112,2025-08-19,NA,D,1650,active,False
113,2025-05-25,EU,D,900,active,False
114,2026-04-15,LATAM,D,1550,active,False
115,2025-05-10,LATAM,B,4050,active,False
116,2025-06-07,APAC,B,2450,active,False
117,2025-09-19,APAC,A,3300,active,False
118,2026-05-05,APAC,B,3000,active,False
119,2025-03-17,EU,B,2400,active,False
120,2025-11-13,EU,C,1750,active,False
121,2025-04-14,NA,B,2400,active,False
122,2025-09-10,EU,B,4050,active,False
123,2025-12-11,EU,D,1250,active,False
124,2026-03-10,NA,C,2200,active,False
125,2025-06-08,EU,A,3900,active,False
126,2025-01-23,LATAM,B,4100,active,False
127,2025-10-12,LATAM,A,4650,active,False
128,2026-05-05,LATAM,B,2450,active,False
129,2025-05-18,EU,A,4750,active,False
130,2026-04-14,EU,E,850,active,False
131,2025-10-27,EU,C,1650,active,False
132,2025-10-15,NA,C,1600,active,False
133,2025-10-29,EU,B,2200,active,False
134,2025-08-15,LATAM,A,4400,active,False
135,2025-06-19,NA,B,3750,active,False
136,2026-03-03,EU,C,1800,active,False
137,2025-04-29,NA,B,4150,active,False
138,2025-12-29,NA,C,2150,active,False
139,2026-01-14,NA,B,3600,active,False
140,2026-05-07,NA,B,3850,active,False
141,2025-11-25,APAC,B,3500,active,False
142,2025-09-17,NA,A,5400,active,False
143,2025-07-19,LATAM,D,1150,active,False
144,2025-08-22,EU,B,3800,active,False
145,2026-02-11,NA,B,3350,active,False
146,2026-02-03,NA,C,2350,defaulted,False
147,2025-09-16,NA,D,1500,active,False
148,2025-12-03,NA,B,2750,active,False
149,2025-06-22,EU,C,1950,defaulted,False
150,2025-09-11,EU,D,1550,defaulted,False
151,2026-01-20,APAC,A,4650,active,False
152,2025-02-07,NA,B,2750,active,False
153,2025-08-08,EU,B,3700,active,False
154,2025-06-02,NA,B,3150,active,False
155,2025-01-16,EU,C,1550,defaulted,False
156,2025-03-13,APAC,A,4400,active,False
157,2025-09-21,NA,A,4100,active,False
158,2026-02-28,NA,D,1050,active,False
159,2026-05-16,NA,B,3450,active,False
160,2025-05-25,APAC,E,900,defaulted,False
161,2025-01-24,NA,C,1600,active,False
162,2026-04-28,NA,B,4100,active,False
163,2025-09-02,NA,B,3250,active,False
164,2025-01-23,EU,D,1450,defaulted,False
165,2026-05-26,EU,A,4950,active,False
166,2026-03-31,NA,B,3400,active,False
167,2025-08-19,APAC,A,4350,active,False
168,2025-04-19,NA,D,1600,defaulted,False
169,2025-03-18,NA,A,2950,active,False
170,2025-01-16,NA,A,5550,active,False
171,2025-09-30,NA,A,3500,active,False
172,2025-03-05,APAC,C,1800,active,False
173,2025-05-31,NA,C,1400,defaulted,False
174,2026-04-19,APAC,B,2450,active,False
175,2025-03-18,NA,A,3000,active,False
176,2025-10-03,NA,B,3450,active,False
177,2025-02-02,NA,B,2200,active,False
178,2025-08-08,NA,A,4400,active,False
179,2026-04-22,EU,C,2650,active,False
180,2025-02-28,NA,C,2650,defaulted,False
181,2025-07-10,NA,B,2950,defaulted,False
182,2025-12-26,EU,B,2300,active,False
183,2025-08-02,NA,B,2550,active,False
184,2025-04-22,APAC,D,1050,active,False
185,2025-01-11,NA,B,2850,active,False
186,2025-12-22,NA,D,1450,active,False
187,2025-07-18,APAC,C,1650,active,False
188,2025-10-23,NA,C,1650,active,False
189,2025-10-01,NA,B,3150,active,False
190,2025-07-17,NA,B,2300,active,False
191,2026-05-28,EU,A,4800,active,False
192,2026-02-28,EU,B,2100,active,False
193,2026-03-11,APAC,B,4000,active,False
194,2025-01-05,LATAM,A,3200,active,False
195,2025-03-04,NA,C,1700,active,False
196,2025-02-09,APAC,A,4000,active,False
197,2025-09-14,EU,D,1050,defaulted,False
198,2025-04-19,NA,E,650,defaulted,False
199,2026-05-17,NA,C,1900,active,False
200,2026-01-08,EU,C,1650,active,False
201,2025-03-02,APAC,B,4150,active,False
202,2025-09-12,NA,A,5000,active,False
203,2026-01-08,NA,C,2050,active,False
204,2025-03-10,NA,B,2700,active,False
205,2025-10-03,NA,B,2350,active,False
206,2026-05-19,APAC,A,3750,active,False
207,2026-01-26,EU,D,1600,active,False
208,2025-11-02,NA,A,4000,active,False
209,2025-05-16,NA,C,1700,defaulted,False
210,2026-03-25,EU,C,2750,active,False
211,2025-02-08,EU,D,1200,defaulted,False
212,2026-05-20,NA,A,4950,active,False
213,2026-01-16,EU,A,3700,active,False
214,2025-03-23,NA,B,2750,active,False
215,2025-10-12,NA,C,2400,defaulted,False
216,2025-02-16,EU,B,2950,active,False
217,2025-01-07,NA,C,1500,active,False
218,2026-04-16,NA,A,2800,active,False
219,2025-09-10,EU,C,2650,active,False
220,2026-04-02,APAC,B,3750,active,False
221,2025-05-05,NA,A,3800,active,False
222,2026-01-16,APAC,B,4000,active,False
223,2025-12-02,EU,B,2900,active,False
224,2026-01-24,APAC,D,1500,active,False
225,2026-01-04,APAC,C,2550,active,False
226,2025-12-28,NA,B,2600,active,False
227,2025-12-25,NA,C,1450,active,False
228,2025-04-18,NA,B,3500,active,False
229,2025-06-11,NA,E,550,active,False
230,2025-01-07,NA,C,1850,active,False
231,2026-01-16,EU,E,550,active,False
232,2025-02-22,APAC,B,3450,active,False
233,2025-02-19,EU,D,1150,active,False
234,2025-10-13,NA,B,2200,active,False
235,2025-05-24,NA,D,1200,defaulted,False
236,2025-10-01,APAC,B,3400,active,False
237,2025-12-25,EU,B,3900,active,False
238,2025-01-20,EU,D,1400,active,False
239,2025-01-01,APAC,C,1400,active,False
240,2025-09-26,NA,E,650,defaulted,False
241,2025-02-28,EU,D,1550,active,False
242,2025-01-06,EU,B,2350,active,False
243,2025-08-09,APAC,D,1500,defaulted,False
244,2025-07-14,EU,B,3700,active,False
245,2025-07-27,NA,C,2450,active,False
246,2025-12-10,NA,E,600,active,False
247,2025-01-31,NA,B,3900,defaulted,False
248,2025-03-08,NA,B,3100,active,False
249,2025-07-15,NA,D,950,defaulted,False
250,2026-01-07,APAC,D,900,active,False
251,2025-05-22,APAC,C,2600,active,False
252,2025-07-25,NA,C,1500,defaulted,False
253,2025-08-13,NA,A,4700,active,False
254,2025-05-23,APAC,B,2550,active,False
255,2025-04-19,NA,B,2450,active,False
256,2025-06-10,NA,C,2050,active,False
257,2025-07-01,APAC,B,2550,active,False
258,2026-04-03,LATAM,C,2650,defaulted,False
259,2026-05-23,EU,B,4000,active,False
260,2026-02-23,APAC,C,2450,active,False
261,2025-04-14,NA,D,900,defaulted,False
262,2025-07-21,NA,A,3200,active,False
263,2025-10-04,APAC,A,3550,active,False
264,2026-01-23,LATAM,C,2750,active,False
265,2025-06-19,APAC,A,5350,active,False
266,2025-04-10,LATAM,B,4100,active,False
267,2025-11-08,NA,E,550,active,False
268,2026-02-09,APAC,C,2550,active,False
269,2025-05-26,APAC,C,2650,active,False
270,2025-04-15,EU,C,1750,defaulted,False
271,2026-04-23,EU,B,3100,active,False
272,2025-04-13,EU,B,2600,active,False
273,2025-03-03,NA,C,2700,active,False
274,2026-01-03,LATAM,B,2150,active,False
275,2025-03-28,EU,D,1050,defaulted,False
276,2025-05-16,NA,B,3000,active,False
277,2025-12-11,NA,B,3100,active,False
278,2026-01-11,NA,C,2100,active,False
279,2025-07-13,EU,A,3850,active,False
280,2025-01-22,EU,D,900,active,False
281,2025-08-30,EU,B,2150,active,False
282,2026-04-04,EU,C,2250,active,False
283,2026-05-24,NA,E,750,active,False
284,2026-01-21,EU,D,900,defaulted,False
285,2026-03-18,NA,A,2850,active,False
286,2025-04-24,EU,C,2500,active,False
287,2025-08-16,NA,A,2850,active,False
288,2026-05-30,EU,C,2750,active,False
289,2025-02-07,NA,A,4000,active,False
290,2026-04-03,APAC,B,3050,active,False
291,2025-04-23,NA,E,600,active,False
292,2025-09-21,NA,A,4000,active,False
293,2025-06-22,NA,B,3000,active,False
294,2025-07-02,EU,A,5050,active,False
295,2026-02-24,APAC,C,1600,active,False
296,2025-07-03,EU,B,2750,active,False
297,2025-10-14,APAC,C,2050,active,False
298,2025-12-24,NA,B,2450,active,False
299,2026-05-01,NA,B,3650,active,False
300,2026-05-22,NA,C,1450,active,False
301,2025-10-02,EU,D,1600,active,False
302,2026-04-05,NA,A,3150,active,False
303,2025-12-26,EU,C,2050,active,False
304,2025-09-09,EU,C,1450,active,False
305,2025-08-01,NA,C,1900,active,False
306,2025-08-19,EU,B,2650,active,False
307,2025-09-04,EU,B,3250,active,False
308,2025-08-26,NA,C,2400,active,False
309,2025-05-31,NA,C,2700,active,False
310,2025-02-18,APAC,C,1700,active,False
311,2025-08-20,NA,D,1400,active,False
312,2025-01-19,NA,B,2950,defaulted,False
313,2026-04-01,EU,B,3300,active,False
314,2025-10-07,NA,A,3000,active,False
315,2025-04-20,NA,E,550,defaulted,False
316,2026-01-20,NA,C,2050,active,False
317,2025-01-18,NA,B,3700,active,False
318,2025-11-13,EU,D,1350,active,False
319,2025-05-08,NA,B,4000,active,True
320,2025-04-26,EU,B,2550,active,False
321,2025-03-15,LATAM,A,5150,active,False
322,2026-02-15,NA,D,1150,active,False
323,2026-03-12,NA,B,3650,active,False
324,2025-12-17,EU,B,3900,active,False
325,2025-06-02,NA,A,3250,active,False
326,2025-03-20,EU,B,3700,active,False
327,2026-04-14,NA,A,4800,active,False
328,2025-09-12,NA,B,4100,active,False
329,2025-10-22,NA,C,2400,active,False
330,2026-04-23,NA,B,2750,active,False
331,2025-10-12,EU,A,3000,active,False
332,2025-10-01,LATAM,C,2250,active,False
333,2026-04-30,EU,A,4950,active,False
334,2025-12-15,EU,A,4600,active,False
335,2026-03-24,APAC,C,1900,active,False
336,2026-01-14,NA,C,1500,defaulted,False
337,2026-04-11,APAC,A,3800,active,False
