plan_id,customer_id,merchant_id,product_type,num_installments,order_amount_usd,total_repayable_usd,apr_bps,created_at,status
1,1,30,pay_in_4,4,326.86,326.86,0,2025-07-18,paid_off
2,1,40,pay_in_4,4,126.86,126.86,0,2025-11-01,paid_off
3,1,24,pay_monthly_12,12,603.10,780.06,2975,2025-09-10,active
4,1,6,pay_monthly_6,6,173.49,190.84,2028,2026-05-11,active
5,3,32,pay_in_4,4,392.17,392.17,0,2026-02-22,paid_off
6,3,55,pay_monthly_12,12,43.06,52.93,2324,2025-06-26,paid_off
7,3,42,pay_in_4,4,134.05,134.05,0,2025-12-25,delinquent
8,3,46,pay_in_4,4,108.34,108.34,0,2026-04-25,paid_off
9,3,3,pay_in_3,3,418.00,418.00,0,2026-02-10,paid_off
10,4,25,pay_in_4,4,900.00,900.00,0,2026-05-13,delinquent
11,4,20,pay_monthly_6,6,892.53,1000.90,2462,2026-05-06,active
12,4,39,pay_in_4,4,74.70,74.70,0,2025-04-25,paid_off
13,4,32,pay_in_4,4,518.46,518.46,0,2025-11-07,paid_off
14,5,20,pay_in_4,4,812.33,812.33,0,2026-01-02,paid_off
15,5,11,pay_in_4,4,393.63,393.63,0,2026-02-19,paid_off
16,5,18,pay_monthly_6,6,624.04,694.02,2274,2026-02-25,active
17,6,43,pay_in_4,4,343.13,343.13,0,2026-06-11,active
18,7,48,pay_monthly_6,6,208.25,225.34,1664,2026-03-09,delinquent
19,7,8,pay_monthly_6,6,219.54,246.56,2496,2026-04-01,active
20,7,22,pay_in_4,4,636.56,636.56,0,2026-01-09,paid_off
21,8,25,pay_in_3,3,1367.84,1367.84,0,2025-01-28,paid_off
22,8,27,pay_monthly_12,12,920.81,1142.41,2440,2026-02-01,active
23,8,47,pay_in_4,4,168.50,168.50,0,2026-01-20,paid_off
24,9,45,pay_in_4,4,295.68,295.68,0,2025-12-11,paid_off
25,9,18,pay_in_4,4,1265.32,1265.32,0,2025-07-05,defaulted
26,9,15,pay_monthly_6,6,1033.13,1126.82,1839,2025-04-09,paid_off
27,9,15,pay_in_4,4,260.39,260.39,0,2025-11-08,paid_off
28,9,20,pay_in_4,4,1205.90,1205.90,0,2026-06-02,defaulted
29,9,37,pay_in_4,4,235.98,235.98,0,2025-06-09,paid_off
30,9,27,pay_in_4,4,593.18,593.18,0,2026-05-04,active
31,10,55,pay_in_3,3,70.63,70.63,0,2025-10-27,paid_off
32,10,19,pay_monthly_12,12,1666.20,2118.46,2752,2025-12-03,active
33,10,10,pay_monthly_6,6,967.96,1061.14,1952,2026-03-22,active
34,11,13,pay_in_4,4,599.47,599.47,0,2026-03-03,paid_off
35,11,42,pay_in_4,4,407.76,407.76,0,2025-12-22,paid_off
36,11,47,pay_in_4,4,166.47,166.47,0,2026-04-09,paid_off
37,11,13,pay_monthly_12,12,585.79,760.04,3016,2025-12-18,active
38,13,3,pay_monthly_6,6,631.09,709.08,2506,2026-02-03,active
39,14,24,pay_in_3,3,1712.74,1712.74,0,2026-05-02,active
40,17,48,pay_monthly_6,6,165.93,186.85,2556,2026-03-25,active
41,20,11,pay_in_4,4,704.93,704.93,0,2026-04-21,paid_off
42,20,22,pay_in_4,4,708.82,708.82,0,2025-05-10,paid_off
43,20,15,pay_in_4,4,699.82,699.82,0,2025-11-26,defaulted
44,21,31,pay_in_3,3,541.90,541.90,0,2025-11-07,paid_off
45,21,11,pay_monthly_6,6,443.49,499.13,2544,2025-10-12,paid_off
46,22,25,pay_in_4,4,824.48,824.48,0,2026-05-07,active
47,22,7,pay_in_4,4,301.41,301.41,0,2026-02-28,delinquent
48,23,42,pay_in_4,4,35.89,35.89,0,2025-11-15,paid_off
49,23,10,pay_monthly_6,6,702.36,767.03,1867,2025-07-14,paid_off
50,23,47,pay_in_3,3,538.79,538.79,0,2026-02-10,paid_off
51,23,40,pay_in_4,4,179.14,179.14,0,2026-03-08,paid_off
52,24,56,pay_in_4,4,58.69,58.69,0,2025-12-22,paid_off
53,24,56,pay_in_4,4,79.13,79.13,0,2026-04-22,paid_off
54,24,28,pay_monthly_12,12,711.06,947.76,3375,2025-12-15,active
55,25,25,pay_monthly_12,12,550.00,710.57,2960,2026-03-20,active
56,25,54,pay_in_4,4,62.45,62.45,0,2026-03-24,paid_off
57,26,44,pay_in_4,4,325.95,325.95,0,2026-05-29,active
58,27,54,pay_in_4,4,48.07,48.07,0,2026-06-09,delinquent
